# L=12, N=12, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=6)              S₁acc(ℓ=6)                 S₂(ℓ=6)              S₂acc(ℓ=6)                 EN(ℓ=6)              ENacc(ℓ=6)                 S₁(n=6)                 S₂(n=6)
    0.174753     -2.309978425130E+01      1.837623023263E+00      3.354653967671E-02      1.667141381952E+00      1.071526889672E-02      2.130119080190E+00      1.508528843756E-01      1.588251759180E-01      5.344206374987E-02
    0.187382     -2.303830655912E+01      1.832239499675E+00      3.605023190523E-02      1.660058085540E+00      1.166772448335E-02      2.129395253692E+00      1.577349047107E-01      1.728391457751E-01      5.900574586458E-02
    0.200923     -2.297280760393E+01      1.826736296579E+00      3.866844528596E-02      1.652802306373E+00      1.267869284502E-02      2.128594038670E+00      1.647764394377E-01      1.878527385769E-01      6.505777130258E-02
    0.215443     -2.290304286648E+01      1.821114116106E+00      4.139939688326E-02      1.645377417347E+00      1.374874668217E-02      2.127710011946E+00      1.719701867829E-01      2.039161159372E-01      7.163083876511E-02
    0.231013     -2.282875481691E+01      1.815373367567E+00      4.424069200878E-02      1.637786753320E+00      1.487815195371E-02      2.126737563639E+00      1.793082668933E-01      2.210809159255E-01      7.875906439044E-02
    0.247708     -2.274967241845E+01      1.809514121629E+00      4.718934017760E-02      1.630033530884E+00      1.606685587405E-02      2.125670898756E+00      1.867822699423E-01      2.394003641882E-01      8.647804525475E-02
    0.265609     -2.266551063695E+01      1.803536067411E+00      5.024177887079E-02      1.622120767811E+00      1.731447917811E-02      2.124504038069E+00      1.943833082341E-01      2.589294053999E-01      9.482493742174E-02
    0.284804     -2.257596996041E+01      1.797438472621E+00      5.339390436561E-02      1.614051203189E+00      1.862031278247E-02      2.123230818118E+00      2.021020714269E-01      2.797248552675E-01      1.038385504983E-01
    0.305386     -2.248073593368E+01      1.791220146638E+00      5.664110869705E-02      1.605827219041E+00      1.998331883210E-02      2.121844890187E+00      2.099288839883E-01      3.018455732890E-01      1.135594607064E-01
    0.327455     -2.237947871396E+01      1.784879406247E+00      5.997832165728E-02      1.597450764052E+00      2.140213598293E-02      2.120339718085E+00      2.178537640282E-01      3.253526565708E-01      1.240301445726E-01
    0.351119     -2.227185265391E+01      1.778414043550E+00      6.340005663108E-02      1.588923279729E+00      2.287508863926E-02      2.118708574624E+00      2.258664827194E-01      3.503096552467E-01      1.352951354888E-01
