# L=14, N=14, T=1.0, sym gs
#          U         Eg                 S₁(ℓ=7)              S₁acc(ℓ=7)                 S₂(ℓ=7)              S₂acc(ℓ=7)                 EN(ℓ=7)              ENacc(ℓ=7)
    0.756463     -2.396182003081E+01      1.749829500812E+00      1.279738641053E-01      1.524620015434E+00      5.336030838484E-02      2.169139085562E+00      3.650017725365E-01
    0.811131     -2.370800413478E+01      1.741397096958E+00      1.321935472421E-01      1.514008540607E+00      5.549279839155E-02      2.165305016631E+00      3.736097571189E-01
    0.869749     -2.343973644991E+01      1.732751149003E+00      1.363963196050E-01      1.503194056153E+00      5.762965820406E-02      2.161239217017E+00      3.821598992705E-01
    0.932603     -2.315635561773E+01      1.723877079923E+00      1.405761618703E-01      1.492161460338E+00      5.976693544891E-02      2.156931111750E+00      3.906459013017E-01
    1.000000     -2.285718984788E+01      1.714758742887E+00      1.447272431925E-01      1.480893399575E+00      6.190069004293E-02      2.152369713231E+00      3.990622479885E-01
    1.072267     -2.254156004854E+01      1.705378190643E+00      1.488439821592E-01      1.469369863921E+00      6.402702490498E-02      2.147543608354E+00      4.074043768710E-01
    1.149757     -2.220878368556E+01      1.695715390756E+00      1.529211360185E-01      1.457567662382E+00      6.614213106361E-02      2.142440943231E+00      4.156688956507E-01
    1.232847     -2.185817951764E+01      1.685747870530E+00      1.569539306408E-01      1.445459734841E+00      6.824235468656E-02      2.137049401468E+00      4.238538587242E-01
    1.321941     -2.148907339206E+01      1.675450269144E+00      1.609382489213E-01      1.433014239137E+00      7.032429721592E-02      2.131356168432E+00      4.319591169004E-01
    1.417474     -2.110080533296E+01      1.664793765130E+00      1.648709028665E-01      1.420193324762E+00      7.238496538223E-02      2.125347867631E+00      4.399867558394E-01
    1.519911     -2.069273821774E+01      1.653745332719E+00      1.687500252756E-01      1.406951464440E+00      7.442199641036E-02      2.119010444321E+00      4.479416385987E-01
    1.629751     -2.026426842271E+01      1.642266757711E+00      1.725756317013E-01      1.393233154361E+00      7.643399673467E-02      2.112328952137E+00      4.558320636384E-01
    1.747528     -1.981483893516E+01      1.630313306204E+00      1.763504230774E-01      1.378969702006E+00      7.842105221803E-02      2.105287164679E+00      4.636705373084E-01
    1.873817     -1.934395558922E+01      1.617831877733E+00      1.800809240804E-01      1.364074679516E+00      8.038549731694E-02      2.097866874590E+00      4.714746307856E-01
    2.009233     -1.885120730619E+01      1.604758369211E+00      1.837790794837E-01      1.348437401959E+00      8.233307392309E-02      2.090046638329E+00      4.792678296122E-01
    2.154435     -1.833629153666E+01      1.591013794042E+00      1.874644515861E-01      1.331913448236E+00      8.427467233095E-02      2.081799541085E+00      4.870801592249E-01
    2.310130     -1.779904655498E+01      1.576498380272E+00      1.911671520414E-01      1.314310706768E+00      8.622892997869E-02      2.073089232208E+00      4.949481257851E-01
    2.477076     -1.723949291104E+01      1.561082301031E+00      1.949315419569E-01      1.295368594774E+00      8.822606321198E-02      2.063862910771E+00      5.029130443006E-01
    2.656088     -1.665788728921E+01      1.544590671623E+00      1.988204093290E-01      1.274726838712E+00      9.031339184104E-02      2.054038942646E+00      5.110159487848E-01
    2.848036     -1.605479336285E+01      1.526778648081E+00      2.029184872319E-01      1.251878432230E+00      9.256298062256E-02      2.043485078167E+00      5.192856737093E-01
    3.053856     -1.543117602308E+01      1.507289404373E+00      2.073322059105E-01      1.226099371851E+00      9.508137391181E-02      2.031980428246E+00      5.277138788068E-01
    3.274549     -1.478852739788E+01      1.485583062400E+00      2.121783735581E-01      1.196347104814E+00      9.801981379480E-02      2.019150178709E+00      5.362062318506E-01
    3.511192     -1.412903425612E+01      1.460819225975E+00      2.175465024025E-01      1.161125980325E+00      1.015790115554E-01      2.004357268206E+00      5.444928433339E-01
    3.764936     -1.345579310298E+01      1.431676103131E+00      2.234073004115E-01      1.118347305723E+00      1.059926575471E-01      1.986534753324E+00      5.519769247084E-01
    4.037017     -1.277306224547E+01      1.396118103103E+00      2.294309172241E-01      1.065297684115E+00      1.114559027568E-01      1.963962283678E+00      5.575124293741E-01
    4.328761     -1.208649135538E+01      1.351234581124E+00      2.347057836796E-01      9.990057537845E-01      1.179466798116E-01      1.934066086945E+00      5.591639543208E-01
    4.641589     -1.140317129420E+01      1.293515956470E+00      2.374847826687E-01      9.174602023145E-01      1.249138990570E-01      1.893492167767E+00      5.541600768192E-01
    4.977024     -1.073123733483E+01      1.220130853354E+00      2.353508824356E-01      8.217520717454E-01      1.309737640445E-01      1.838876964399E+00      5.394428000557E-01
    5.336699     -1.007882076323E+01      1.131188230827E+00      2.262383411057E-01      7.177030802176E-01      1.340499328636E-01      1.768485617452E+00      5.130504456655E-01
    5.722368     -9.452598266392E+00      1.031252280304E+00      2.099101082339E-01      6.144675253371E-01      1.323234949623E-01      1.683827962851E+00      4.756350922700E-01
    6.135907     -8.856743763281E+00      9.279139501540E-01      1.884225136136E-01      5.202846542879E-01      1.254286735037E-01      1.589614078897E+00      4.306307430531E-01
    6.579332     -8.292912670986E+00      8.282880801865E-01      1.649279007523E-01      4.393048838637E-01      1.146676877568E-01      1.491780397500E+00      3.826857878236E-01
    7.054802     -7.761017080286E+00      7.366624495397E-01      1.420953051457E-01      3.717753618016E-01      1.020665609284E-01      1.395308191816E+00      3.357917284126E-01
    7.564633     -7.260094978568E+00      6.545075515938E-01      1.214331881915E-01      3.159485474579E-01      8.933829302648E-02      1.303284533656E+00      2.924210992276E-01
    8.111308     -6.788870206697E+00      5.816092844141E-01      1.034609119029E-01      2.696435288428E-01      7.748934217950E-02      1.217105125917E+00      2.536502532437E-01
    8.697490     -6.346001023233E+00      5.170803659084E-01      8.813155193549E-02      2.309434185963E-01      6.693254622780E-02      1.137080150803E+00      2.196491812289E-01
    9.326033     -5.930155126427E+00      4.599087461267E-01      7.516118518502E-02      1.983470896576E-01      5.773302657475E-02      1.062966337928E+00      1.901242114617E-01
   10.000000     -5.540019712986E+00      4.091679380994E-01      6.420820420833E-02      1.707147194604E-01      4.979712444031E-02      9.943015662671E-01      1.646002232234E-01
   10.722672     -5.174298254090E+00      3.640643549043E-01      5.495009907939E-02      1.471749747069E-01      4.297760722605E-02      9.305779367848E-01      1.425684061044E-01
   11.497570     -4.831710337495E+00      3.239267255005E-01      4.710790819186E-02      1.270478074797E-01      3.712197154152E-02      8.713170511429E-01      1.235516413139E-01
   12.328467     -4.510996273497E+00      2.881830227840E-01      4.044859212097E-02      1.097904832430E-01      3.209092198719E-02      8.160951340191E-01      1.071271274451E-01
   13.219411     -4.210924213561E+00      2.563397519042E-01      3.477984255014E-02      9.496167483359E-02      2.776339947596E-02      7.645456632595E-01      9.292947782818E-02
   14.174742     -3.930297545463E+00      2.279664069004E-01      2.994329827807E-02      8.219742597659E-02      2.403627669465E-02      7.163534765502E-01      8.064613029238E-02
   15.199111     -3.667961249587E+00      2.026843009426E-01      2.580825915850E-02      7.119451381145E-02      2.082230151997E-02      6.712466771225E-01      7.001050664549E-02
   16.297508     -3.422806697846E+00      1.801584318438E-01      2.226643333607E-02      6.169843849456E-02      1.804772144230E-02      6.289888682066E-01      6.079515920328E-02
   17.475284     -3.193774855939E+00      1.600913308395E-01      1.922770754429E-02      5.349440841304E-02      1.565009403723E-02      5.893725299183E-01      5.280567851647E-02
   18.738174     -2.979858075742E+00      1.422182102508E-01      1.661677918284E-02      4.640036102633E-02      1.357641713065E-02      5.522136479565E-01      4.587552439373E-02
   20.092330     -2.780100738868E+00      1.263029941816E-01      1.437047526599E-02      4.026143559027E-02      1.178157716896E-02      5.173474544735E-01      3.986171630974E-02
   21.544347     -2.593599010617E+00      1.121349821716E-01      1.243560905430E-02      3.494552414320E-02      1.022707339280E-02      4.846250814196E-01      3.464125555739E-02
   23.101297     -2.419499930585E+00      9.952599129260E-02      1.076725648036E-02      3.033964800744E-02      8.879969335031E-03      4.539109366706E-01      3.010814953696E-02
   24.770764     -2.257000025166E+00      8.830787628475E-02      9.327361572603E-03      2.634698023859E-02      7.712028345161E-03      4.250806437964E-01      2.617092614073E-02
   26.560878     -2.105343588183E+00      7.833035849650E-02      8.083601325912E-03      2.288438148349E-02      6.698997498176E-03      3.980194186009E-01      2.275054696997E-02
   28.480359     -1.963820742615E+00      6.945911311664E-02      7.008456579468E-03      1.988034867429E-02      5.820011428395E-03      3.726207834977E-01      1.977864664812E-02
   30.538555     -1.831765369450E+00      6.157407611088E-02      6.078447579730E-03      1.727329872640E-02      5.057093577942E-03      3.487855432455E-01      1.719604052798E-02
   32.745492     -1.708552968391E+00      5.456794033348E-02      5.273502040792E-03      1.501012613802E-02      4.394737052197E-03      3.264209630713E-01      1.495145485448E-02
   35.111917     -1.593598498686E+00      4.834481603412E-02      4.576430443705E-03      1.304498599423E-02      3.819550931994E-03      3.054401037007E-01      1.300044254083E-02
   37.649358     -1.486354235584E+00      4.281903525935E-02      3.972488614167E-03      1.133826353745E-02      3.319960725874E-03      2.857612781642E-01      1.130445475421E-02
   40.370173     -1.386307668212E+00      3.791408293682E-02      3.449011700388E-03      9.855698961778E-03      2.885953848758E-03      2.673076032108E-01      9.830043985429E-03
   43.287613     -1.292979457158E+00      3.356164001858E-02      2.995106842590E-03      8.567641963611E-03      2.508862735721E-03      2.500066242961E-01      8.548178582693E-03
   46.415888     -1.205921464396E+00      2.970072613452E-02      2.601394303976E-03      7.448415224700E-03      2.181179556187E-03      2.337899978515E-01      7.433652146709E-03
   49.770236     -1.124714863830E+00      2.627693089379E-02      2.259788783725E-03      6.475769701581E-03      1.896397569847E-03      2.185932182241E-01      6.464573925378E-03
   53.366992     -1.048968337465E+00      2.324172436266E-02      1.963314177309E-03      5.630417560745E-03      1.648875026102E-03      2.043553795329E-01      5.621928566210E-03
   57.223677     -9.783163597174E-01      2.055183840588E-02      1.705946279856E-03      4.895630992278E-03      1.433718201725E-03      1.910189649120E-01      4.889195398824E-03
   61.359073     -9.124175705483E-01      1.816871155412E-02      1.482478913590E-03      4.256897078134E-03      1.246680733042E-03      1.785296573472E-01      4.252018914921E-03
   65.793322     -8.509532366821E-01      1.605799089107E-02      1.288409753515E-03      3.701620478638E-03      1.084076857292E-03      1.668361676596E-01      3.697923354085E-03
   70.548023     -7.936257992113E-01      1.418908516629E-02      1.119842767060E-03      3.218867004923E-03      9.427065543100E-04      1.558900762414E-01      3.216065340368E-03
   75.646333     -7.401575051289E-01      1.253476395776E-02      9.734047047307E-04      2.799142221503E-03      8.197908903991E-04      1.456456859626E-01      2.797019385635E-03
   81.113083     -6.902891198462E-01      1.107079824742E-02      8.461735044179E-04      2.434200116501E-03      7.129161241682E-04      1.360598842971E-01      2.432591810983E-03
   86.974900     -6.437787174125E-01      9.775638246507E-03      7.356168208467E-04      2.116877621694E-03      6.199853492614E-04      1.270920132035E-01      2.115659260998E-03
   93.260335     -6.004005449477E-01      8.630124727157E-03      6.395391788161E-04      1.840951388133E-03      5.391766293557E-04      1.187037456655E-01      1.840028516083E-03
  100.000000     -5.599439576976E-01      7.617230489319E-03      5.560364861509E-04      1.601013746765E-03      4.689067321530E-04      1.108589680804E-01      1.600314761117E-03
